Unique Key,Created Date,Closed Date,duration,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
65264896,6/14/2025 19:11:25,6/14/2025 19:11:25,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030,695 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,09 MANHATTAN,1020500131,MANHATTAN,999474,239328,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.82356253,-73.94499342,"(40.823562528881716, -73.94499342041004)"
65267079,6/14/2025 18:53:11,6/14/2025 18:53:11,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10460,1490 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 BRONX,2029650051,BRONX,1013455,243351,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83456934,-73.89446051,"(40.834569343522226, -73.89446050915083)"
65268167,6/14/2025 18:53:11,6/14/2025 18:53:11,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11218,455 OCEAN PARKWAY,OCEAN PARKWAY,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,12 BROOKLYN,3053900074,BROOKLYN,991753,171505,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.63741502,-73.97296617,"(40.63741502026353, -73.9729661683084)"
65264892,6/14/2025 18:26:05,6/14/2025 18:26:05,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10463,150 WEST  225 STREET,WEST  225 STREET,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,08 BRONX,1022150042,BRONX,1008459,258120,UNKNOWN,Unspecified,BRONX,,,,,,,,40.87512093,-73.91246144,"(40.87512093148135, -73.91246144190357)"
65262715,6/14/2025 17:13:47,6/14/2025 17:13:47,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10019,250 WEST   50 STREET,WEST   50 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,05 MANHATTAN,1010210001,MANHATTAN,988396,216832,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.76182923,-73.98503377,"(40.76182923096574, -73.98503376979151)"
65264897,6/14/2025 17:07:40,6/14/2025 17:07:40,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10032,575 WEST  172 STREET,WEST  172 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,12 MANHATTAN,1021290001,MANHATTAN,1001585,246501,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.84324645,-73.93734753,"(40.84324645178813, -73.93734752863537)"
65269206,6/14/2025 16:40:34,6/14/2025 16:40:34,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11235,3232 SHORE PARKWAY,SHORE PARKWAY,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,15 BROOKLYN,3087650019,BROOKLYN,996399,152362,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58486628,-73.95626075,"(40.58486627676468, -73.95626074893555)"
65262714,6/14/2025 16:22:19,6/14/2025 16:22:19,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10468,3054 VILLA AVENUE,VILLA AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,07 BRONX,2033100010,BRONX,1015191,257658,UNKNOWN,Unspecified,BRONX,,,,,,,,40.87383185,-73.88812102,"(40.873831852493794, -73.88812101691687)"
65270290,6/14/2025 15:09:46,6/14/2025 15:09:46,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11375,105-40 62 ROAD,62 ROAD,,,,,ADDRESS,FOREST HILLS,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,06 QUEENS,4021440015,QUEENS,1024930,207364,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.73574937,-73.85321075,"(40.73574937484077, -73.8532107502099)"
65267082,6/14/2025 15:03:38,6/14/2025 15:03:38,0:00:00,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10075,266 EAST   78 STREET,EAST   78 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,08 MANHATTAN,1014320027,MANHATTAN,996325,220907,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.77300677,-73.95640435,"(40.773006774111046, -73.95640434901327)"
